Day,Group,Dietziaceae,Bogoriellaceae,Mycobacteriaceae,Nocardiaceae,Nocardioidaceae,Microbacteriaceae,Micrococcaceae,Micromonosporaceae,Propionibacteriaceae,Thermomonosporaceae,Coriobacteriaceae,Patulibacteraceae,NA Actinobacteria,Others
0,G1,0,0,0,0,0,0.045454545,0,0,0,0,0.909090909,0,0,0.045454545
2,G1,0,0.015151515,0,0.03030303,0.015151515,0.03030303,0.053030303,0,0,0,0.840909091,0,0,0.015151515
4,G1,0.01038961,0.028571429,0.002597403,0.288311688,0.301298701,0.057142857,0.012987013,0.002597403,0,0,0.262337662,0,0,0.033766234
6,G1,0.022189349,0.056952663,0.002218935,0.410502959,0.171597633,0.073224852,0.12352071,0.00739645,0,0,0.057692308,0,0.002218935,0.072485207
8,G1,0.063636364,0.069245648,0.002321083,0.438878143,0.206189555,0.083752418,0.035203095,0.005222437,0,0,0.021856867,0.000193424,0.000193424,0.073307544
15,G1,0.006042296,0.006646526,0.00755287,0.128700906,0.475226586,0.240785498,0.071903323,0.012386707,0,0,0.001208459,0.004229607,0,0.045317221
22,G1,0.038892395,0.046781319,0.001735563,0.574944778,0.159277375,0.079520353,0.01972231,0.003628905,0,7.88892E-05,0.002761123,0,0.000946671,0.071710319
29,G1,0.049193187,0.061743613,0.000896459,0.513334827,0.185006723,0.073845809,0.027678171,0.011766024,0,0.000112057,0.00212909,0,0.000896459,0.07339758
43,G1,0.04437481,0.087637724,0.000909734,0.416354998,0.192661478,0.118568685,0.045183463,0.01799252,0,0,0.001415142,0,0.000505408,0.074396038
57,G1,0.078445571,0.084399389,0.001045941,0.459892188,0.162040389,0.096065653,0.031941427,0.022367045,0,0,0.002976909,0,0.000160914,0.060664575
0,G2,0,0,0,0,0.052631579,0.105263158,0,0.052631579,0,0,0.789473684,0,0,0
2,G2,0,0.004424779,0.002212389,0.004424779,0.738938053,0.090707965,0.088495575,0,0,0,0.064159292,0,0,0.006637168
4,G2,0.0016,0.005866667,0.006933333,0.050133333,0.6976,0.165333333,0.04,0.003733333,0,0,0.011733333,0,0,0.017066667
6,G2,0,0.004749184,0.020777679,0.039180766,0.6497477,0.17067379,0.07747106,0.008311072,0,0.000296824,0.008311072,0,0,0.020480855
8,G2,0.001270003,0.005588011,0.091821184,0.093980188,0.538989078,0.178689357,0.027940056,0.033401067,0.000635001,0.000381001,0.003048006,0.000381001,0,0.023876048
15,G2,0.001379945,0.003986507,0.174793008,0.082490034,0.466191352,0.164750077,0.010502913,0.045768169,0.000306654,0.013032812,0.000383318,0.000689972,0,0.035725238
22,G2,0.001486819,0.008349059,0.141476525,0.059129639,0.512437811,0.163778807,0.021673243,0.032938755,0.000343112,0.010350546,0.000400297,0.001086521,0,0.046548865
29,G2,0.001821494,0.008315514,0.108497664,0.053694464,0.565850954,0.156173279,0.022729073,0.038330561,0.000475172,0.004751722,0.000158391,0.001346321,0,0.037855389
43,G2,0.001019001,0.01096925,0.259126056,0.045435473,0.369118264,0.175627885,0.036743991,0.02859198,0.000179824,0.013247018,0.000359648,0.002457592,0,0.057124018
57,G2,0.00069827,0.008767166,0.256342618,0.056947785,0.358212429,0.165179611,0.007060284,0.082085499,0.000232757,0.009853363,0.000620684,0.000543099,0,0.053456436
0,G3,0,0,0.071428571,0.142857143,0.214285714,0.071428571,0.071428571,0,0,0,0.357142857,0,0,0.071428571
2,G3,0,0.016042781,0.010695187,0.475935829,0.165775401,0.064171123,0.058823529,0.021390374,0,0,0.160427807,0,0,0.026737968
4,G3,0.002218525,0.045479756,0.005546312,0.647809207,0.149750416,0.069328896,0.022185247,0.008874099,0,0.000554631,0.030504714,0,0,0.017748197
6,G3,0.001524855,0.042848429,0.009454102,0.591338823,0.200670936,0.081427264,0.012961269,0.036749009,0,0.001219884,0.006709363,0.000152486,0,0.01494358
8,G3,0.001970721,0.022240991,0.018674925,0.503941441,0.254316817,0.052646396,0.008727477,0.101632883,0,0.02027027,0.002346096,0,0,0.013231982
15,G3,0.000961041,0.026317735,0.020699342,0.466770163,0.1694389,0.068529607,0.01057145,0.115472758,7.39262E-05,0.100983219,0.000221779,0,7.39262E-05,0.019886154
22,G3,0.002403846,0.028087045,0.02271002,0.448570344,0.214827935,0.072684717,0.006831984,0.149354757,0,0.034033401,0.000442814,0,0,0.020053138
29,G3,0.002150692,0.036275002,0.024016058,0.39379167,0.231271059,0.083733601,0.008531077,0.131478959,0,0.066384687,0.000358449,0,0,0.022008746
43,G3,0.000845055,0.048243225,0.025915006,0.49405645,0.138232146,0.073350735,0.009464611,0.125913128,3.7558E-05,0.049219733,5.6337E-05,1.8779E-05,7.5116E-05,0.034572121
57,G3,0.001625185,0.037798661,0.029947968,0.600885988,0.152374212,0.04601633,0.008270095,0.084745541,0,0.019213882,2.62127E-05,0,0.000117957,0.018977968
0,SG1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,SG1,0,0,0.008928571,0.058035714,0.276785714,0.147321429,0.303571429,0,0,0,0.1875,0,0,0.017857143
